x,y,z
2.061475324605090975e+01,-2.897087423256129668e+01,4.496699207773706775e+01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.831973136739550867e+00,-4.210428794675196684e+01,8.518805733294154692e+00
7.499802771874804819e+01,-1.918327303580854846e+02,9.689047306371887203e+01
8.957638632230666076e+01,-2.734874496759752560e+02,1.563550135458556554e+02
9.296176203859778298e+01,-2.739025186739486344e+02,1.209117742696306550e+02
7.875827836576335983e+01,-3.182076213580426156e+02,7.663036677521893125e+01
8.211654197958191048e+01,-3.306104912475363449e+02,7.852199911653291053e+01
1.170707550920379560e+02,-2.885841941053547544e+02,9.013761946814084070e+01
1.644332796300915049e+02,-2.500804828574106011e+02,8.665733495168755951e+01
2.375017833465114450e+02,-2.745417606746730712e+02,8.169071047699343069e+01
3.309103036697723041e+02,-4.019746722411033488e+02,1.320924904243320270e+02
2.573347991167890427e+02,-2.542572205105176693e+02,6.021621072096930760e+01
1.308674704528520181e+02,-1.499120717824116298e+02,-2.389963930690507943e-01
6.904675461487009613e+01,-1.402426162048224967e+02,-4.446934050913752401e+01
3.061993500755380282e+01,-2.257685971166779950e+02,-3.500709867790575913e+01
-2.329580269320478081e+01,-1.884831650286103581e+02,-3.146060486580402582e+01
1.559422286842507255e+01,-1.100570909594274269e+02,-5.094122188368637438e+01
9.656204780882694649e+01,2.072690500858298179e+01,-1.091519895133054519e+01
1.006292958881457338e+02,6.593774127357015402e+01,1.278510771982392811e+02
1.356613633313496621e+02,4.137916775579851958e+01,1.194799596136885214e+02
1.118294697063063836e+02,1.685321508956160841e+01,7.010222913639360343e+01
9.380041732668563270e+01,-8.506922751398464655e+00,8.874240229401372915e+01
3.562920102351426199e-01,-8.378860249293541074e+01,2.450980340405757119e+01
9.750514843761668260e+01,-4.374530077113467996e+02,9.698722147426028073e+01
2.008800719230274296e+02,-4.921975603487906596e+02,1.499982411428263447e+02
2.236666767435942518e+02,-4.232747513869053364e+02,1.642860340475666305e+02
2.193217226261106134e+02,-2.938065079714946819e+02,1.399506250627661075e+02
